Price,Close,High,Low,Open,Volume,Ticker
Ticker,SPY,SPY,SPY,SPY,SPY,
Date,,,,,,
2010-01-04,84.79637908935547,84.84127078300016,83.43460919990564,84.07808344850892,118944600,SPY
2010-01-05,85.02083587646484,85.05824942358781,84.43722107578378,84.74399617837582,111579900,SPY
2010-01-06,85.08067321777344,85.29017532695063,84.87117110859626,84.93850862575849,116074400,SPY
2010-01-07,85.4398422241211,85.5445933013371,84.68413313120084,84.92356498033823,131091100,SPY
2010-01-08,85.72415924072266,85.761572783385,85.04327729060778,85.2153658864423,126402800,SPY
2010-01-11,85.84390258789062,86.14318818085562,85.47726803204701,86.10578033598838,106375700,SPY
2010-01-12,85.0433120727539,85.45483266782335,84.71409102989237,85.27526014831138,163333500,SPY
2010-01-13,85.76160430908203,86.0010362280222,84.82632248376774,85.26028891224807,161822000,SPY
2010-01-14,85.99351501464844,86.15064160801579,85.61191859732499,85.66429412844744,115718800,SPY
2010-01-15,85.02832794189453,85.92619607452762,84.69910696262609,85.84389653821688,212283100,SPY
2010-01-19,86.0908203125,86.14319586679264,84.99092796384718,85.01337952297884,139172700,SPY
2010-01-20,85.21539306640625,85.634397477044,84.5345108991199,85.50720052502996,216490200,SPY
2010-01-21,83.57676696777344,85.49970583500635,83.47201587839159,85.23782811155172,344859600,SPY
2010-01-22,81.71369934082031,83.60670878425232,81.62391023326165,83.20266636299894,345942400,SPY
2010-01-25,82.1327133178711,82.61158290540881,81.86335738086099,82.4619343753946,186937500,SPY
2010-01-26,81.78849029541016,82.65643421984595,81.58647201424247,81.81093613681712,211168800,SPY
2010-01-27,82.17759704589844,82.36465339588445,81.05525894598233,81.6837655418521,271863600,SPY
2010-01-28,81.23483276367188,82.49185168434502,80.74100696010753,82.44695998634104,316104000,SPY
2010-01-29,80.35191345214844,82.15513914148427,80.22471652286497,81.5864863225913,310677600,SPY
2010-02-01,81.6014633178711,81.60894717053002,80.43423347738661,80.9205811470908,187865000,SPY
2010-02-02,82.589111328125,82.74623796517771,81.46677331331452,81.75110259717724,216327900,SPY
2010-02-03,82.17759704589844,82.66394469756342,81.93816514625661,82.21500489079158,172730700,SPY
2010-02-04,79.64109802246094,81.57899869413097,79.6261303205877,81.54159085645924,356715700,SPY
2010-02-05,79.80571746826172,79.9703222478417,78.24940739172656,79.73089036749063,493585800,SPY
2010-02-08,79.22956848144531,80.30701463030229,79.1697090935076,79.8655587798935,224166900,SPY
2010-02-09,80.22472381591797,80.9205736273526,79.51390630055641,80.15738056525967,337820500,SPY
2010-02-10,80.06759643554688,80.50904665270076,79.39419247772142,80.09752613461761,240511500,SPY
2010-02-11,80.90557098388672,80.99536004315304,79.49890997307169,79.96281154985834,223591600,SPY
2010-02-12,80.83824920654297,80.88314089066262,79.69346559345128,80.05261048341862,304622100,SPY
2010-02-16,82.11023712158203,82.19254235554693,80.67364601538563,81.45180095836841,159317500,SPY
2010-02-17,82.49931335449219,82.61154827783135,82.11023304805046,82.50679149647756,168845100,SPY
2010-02-18,82.98565673828125,83.15774533143444,82.33469878223275,82.36462847419527,193708600,SPY
2010-02-19,83.15774536132812,83.47948241440959,82.57413063911176,82.76867078268556,222684900,SPY
2010-02-22,83.17273712158203,83.48699041545036,82.92582137275404,83.46454456710359,132346900,SPY
2010-02-23,82.16262817382812,83.2026610082938,81.94564212590632,82.94826711601031,207497000,SPY
2010-02-24,82.9183120727539,83.05299283000763,82.20001660356903,82.40951873518483,176350700,SPY
2010-02-25,82.80609130859375,82.86595070171542,81.51166475624676,81.73612891769412,259634700,SPY
2010-02-26,82.8584976196289,83.14282698828846,82.38711756788895,82.88094347325823,173589300,SPY
2010-03-01,83.71892547607422,83.80123071291916,83.1802023652731,83.20264821013885,147709700,SPY
2010-03-02,83.95087432861328,84.35491666577738,83.80123155566622,84.07807696497474,160992400,SPY
2010-03-03,84.02569580078125,84.52700533596384,83.81618794076695,84.16785471301624,150785000,SPY
2010-03-04,84.28010559082031,84.39982439063003,83.82368765643227,84.13794094317292,135770400,SPY
2010-03-05,85.48473358154297,85.55207111299062,84.62427341473223,84.8262974260863,176118800,SPY
2010-03-08,85.49967956542969,85.68673584021128,85.3500368290062,85.49220142456166,114631200,SPY
2010-03-09,85.641845703125,86.03840409944203,85.20039562677346,85.24528730680797,154556700,SPY
2010-03-10,86.02344512939453,86.25539309572311,85.60444087834813,85.67926225053431,186088800,SPY
2010-03-11,86.38261413574219,86.4050656913256,85.55956739471449,85.82144512479061,160791100,SPY
2010-03-12,86.39007568359375,86.77167211090283,86.15064386241067,86.75670441104488,162074800,SPY
2010-03-15,86.41254425048828,86.47240364865269,85.74662414430193,86.24045561639863,146816800,SPY
2010-03-16,87.10091400146484,87.18321353650232,86.41254235468918,86.6519742335875,168673000,SPY
2010-03-17,87.61720275878906,87.90153209525845,87.10840920293097,87.36280883511371,177468100,SPY
2010-03-18,87.5722885131836,87.74437713289736,87.22062171397818,87.62466405507551,196509100,SPY
2010-03-19,87.12901306152344,88.12073738195929,86.79092170763928,87.12901306152344,226641100,SPY
2010-03-22,87.59481048583984,87.75258987412148,86.58054799153372,86.63313921028995,184477800,SPY
2010-03-23,88.2109146118164,88.28604412878153,87.43706396423293,87.72256415352102,182941600,SPY
2010-03-24,87.78266143798828,88.2259353179145,86.83601923776565,87.88033496564069,196072600,SPY
2010-03-25,87.63993072509766,88.78191442641092,87.53474824202993,88.37620810657168,223396300,SPY
2010-03-26,87.58734893798828,88.21844390451675,87.24174849460134,87.80522859986579,205808500,SPY
2010-03-29,88.1432876586914,88.30106135251073,87.66996657723341,88.0305905253878,134513500,SPY
2010-03-30,88.20337677001953,88.52643876691637,87.8352382211879,88.24845332195432,145772500,SPY
2010-03-31,87.90287017822266,88.29354707915067,87.60986106952306,87.86530255628092,161078700,SPY
2010-04-01,88.5039291381836,88.84201485115362,87.97801102332289,88.5039291381836,161215200,SPY
2010-04-05,89.22516632080078,89.28526648768727,88.59406584637358,88.84199838032762,105847600,SPY
2010-04-06,89.43553924560547,89.59331294534043,88.8720592899744,88.96972708542522,110384200,SPY
2010-04-07,88.92462921142578,89.67593563887479,88.51140838352357,89.25520587374756,184576300,SPY
2010-04-08,89.23267364501953,89.38293838955262,88.35364638455304,88.61660252246858,158704000,SPY
2010-04-09,89.81867980957031,89.85624168927389,89.25520002590177,89.42048261422048,133006500,SPY
2010-04-12,89.96144104003906,90.19434995885366,89.82620563724839,89.93138809141738,110279000,SPY
2010-04-13,90.0290756225586,90.1868493283732,89.40548973861412,89.87130191674397,125043600,SPY
2010-04-14,91.05082702636719,91.05082702636719,90.21687644021098,90.35962076248089,161609000,SPY
2010-04-15,91.12596893310547,91.33633384258621,90.87052173444036,90.9005746832253,144615300,SPY
2010-04-16,89.67597198486328,91.12599420681953,89.2176744198087,90.8029320827977,366786700,SPY
2010-04-19,90.01404571533203,90.10420457466694,89.00729758015846,89.41300384914346,217947800,SPY
2010-04-20,90.81793212890625,90.89306736821733,90.05911665358738,90.57751426634714,157708000,SPY
2010-04-21,90.65266418457031,91.08090875072254,90.14928436694073,90.87053807140687,192910100,SPY
2010-04-22,90.92311096191406,91.03580808437532,89.49563318411737,90.01403077621713,115360300,SPY
2010-04-23,91.5166244506836,91.554192060903,90.63008273042358,90.86299159616131,177335500,SPY
2010-04-26,91.1710205078125,91.74952958237677,91.08086741817507,91.54667366666794,143457300,SPY
2010-04-27,89.01476287841797,91.16349337994299,88.84195992687683,90.6450959893426,355853300,SPY
2010-04-28,89.69097900390625,89.91637327459968,88.85702822716074,89.44305218456077,300674100,SPY
2010-04-29,90.80290985107422,90.99073648807678,90.20937699030448,90.23191526962253,193775000,SPY
2010-04-30,89.26274871826172,90.91562692571866,89.24021043399897,90.81795338455967,270000900,SPY
2010-05-03,90.41973114013672,90.66766364714157,89.5557275664011,89.69096295822071,182747900,SPY
2010-05-04,88.29352569580078,89.42799996591934,87.84274300174445,89.41297635998974,360353400,SPY
2010-05-05,87.76762390136719,88.50390678339184,87.12901453149658,87.5722826090727,328973200,SPY
2010-05-06,84.85256958007812,87.90287255412181,78.88719331780163,87.34690727284612,647356600,SPY
2010-05-07,83.5903549194336,85.47612992971396,82.20043917178832,84.62715572822566,637558800,SPY
2010-05-10,87.27175903320312,87.63989758473132,86.33262598092784,87.00879719295544,396159600,SPY
2010-05-11,87.02385711669922,88.17335545955912,86.33265632298175,86.45286241527313,317849800,SPY
2010-05-12,88.24095153808594,88.36867800724123,87.21917417692785,87.36943892534173,235607100,SPY
2010-05-13,87.14407348632812,88.41378380323798,87.06894395328369,88.0005627734697,234452500,SPY
2010-05-14,85.56631469726562,86.64819811746518,84.79998442930088,86.49042440735523,345601400,SPY
2010-05-17,85.61136627197266,86.03961071212542,83.9735180087192,85.79919288137322,325739800,SPY
2010-05-18,84.44684600830078,86.5655299650572,84.16886055866476,86.31008279176753,360556800,SPY
2010-05-19,83.96598815917969,84.72480334512116,82.91415826209817,83.97349709463604,394742700,SPY
2010-05-20,80.7955093383789,82.56107863393963,80.7429181076861,82.17791067774098,530418300,SPY
2010-05-21,81.97505187988281,82.1779021108328,79.15765253216074,79.57087339596544,500909400,SPY
2010-05-24,80.9232177734375,82.18541285013191,80.84808827416079,81.53177416919634,269823000,SPY
2010-05-25,81.00586700439453,81.04343462238722,78.42137079727088,78.96982706709002,396505200,SPY
2010-05-26,80.51752471923828,82.24553214424817,80.27710684316871,81.50174023578516,349719300,SPY
2010-05-27,83.21471405029297,83.24476699976171,81.72712457766734,82.03516301071143,300870500,SPY
2010-05-28,82.17041015625,83.18467298465895,81.77972748935711,83.12456707713469,297933500,SPY
2010-06-01,80.78800964355469,82.60617050684468,80.6678035505515,81.40408091673622,277909400,SPY
2010-06-02,82.89164733886719,82.89915627680085,80.7729632427949,81.20120771757503,240243700,SPY
2010-06-03,83.1771469116211,83.44010305597624,82.32817257927051,83.13207035316424,226618300,SPY
2010-06-04,80.25457000732422,82.14035116006842,79.98409917537626,81.59940949617251,398475600,SPY
2010-06-07,79.25531768798828,80.84808946334418,79.19521752689091,80.54005106016133,264609100,SPY
2010-06-08,80.10430908203125,80.2620827749238,78.62423421230667,79.31543488555427,357774300,SPY
2010-06-09,79.6760482788086,81.35145838853036,79.33795694998544,80.57009902246678,268023300,SPY
2010-06-10,82.00511932373047,82.10278712152495,79.66855525975025,81.03593308894641,317890600,SPY
2010-06-11,82.4032974243164,82.45588865021139,81.2312611146489,81.28385234054389,214128200,SPY
2010-06-14,82.27560424804688,83.48520858073252,82.19296004653302,83.03441994265128,207196100,SPY
