Price,Close,High,Low,Open,Volume,Ticker
Ticker,SPY,SPY,SPY,SPY,SPY,
Date,,,,,,
2024-01-02,459.9912109375,460.9839117212058,457.8890577311239,459.5143439023402,123623700,SPY
2024-01-03,456.2345886230469,458.57030441924957,455.6311985932203,457.8306496986943,103585900,SPY
2024-01-04,454.7650146484375,458.34644746704663,454.54116395968543,455.75768568069975,84232200,SPY
2024-01-05,455.3879089355469,457.84040614563645,453.93779478135224,454.96940287212124,86118900,SPY
2024-01-08,461.8890075683594,462.0349842457667,455.7577198150965,455.884242835596,74879100,SPY
2024-01-09,461.1882629394531,462.21012932199153,458.72602412321226,459.2320864754785,65931400,SPY
2024-01-10,463.7964782714844,464.6626560070687,461.17852110920177,461.4607624691406,67310600,SPY
2024-01-11,463.59210205078125,465.3146861106975,459.6116465550996,464.7988820904805,77940700,SPY
2024-01-12,463.91326904296875,465.7818595429952,462.502121615046,465.04220480544996,58026400,SPY
2024-01-16,462.21014404296875,463.8451421871986,460.39023221216354,462.53132242501596,85014900,SPY
2024-01-17,459.6408386230469,460.1274473065962,457.28563952656407,459.1834252725011,68843900,SPY
2024-01-18,463.72833251953125,464.2830735453687,459.7673604180853,461.31477246365523,91856200,SPY
2024-01-19,469.50927734375,469.79151871434675,463.7770421286305,464.8572992191645,110834500,SPY
2024-01-22,470.5019836425781,472.22456782073624,469.8499148891261,471.0469830334159,75844900,SPY
2024-01-23,471.87420654296875,472.1175109095896,469.9569966462272,471.04699545665005,49945300,SPY
2024-01-24,472.3900451660156,475.679495288325,471.89369474893255,474.74521482696895,81765000,SPY
2024-01-25,474.9593200683594,475.23181977158964,472.39004139507995,474.52136032734217,72525000,SPY
2024-01-26,474.3559265136719,476.0201200569098,473.509232074134,474.53109852869903,76641600,SPY
2024-01-29,478.11248779296875,478.258494159002,474.12232032676826,474.66731967923187,61322800,SPY
2024-01-30,477.7427062988281,478.4531359964777,476.983568210537,477.421527922976,58618400,SPY
2024-01-31,469.9472351074219,475.98116532447904,469.9277517507619,475.5334936248827,126011100,SPY
2024-02-01,476.0979919433594,476.1271872790658,470.8425939142762,471.65038103588824,91891600,SPY
2024-02-02,481.11004638671875,482.7644982110768,476.1952805049677,476.53591254829524,99228200,SPY
2024-02-05,479.35821533203125,481.13921979443177,477.10037355108614,480.47743909484853,75757100,SPY
2024-02-06,480.74993896484375,481.0808293147646,478.871606822303,480.3022375794468,55918600,SPY
2024-02-07,484.7596435546875,485.17811995237605,482.0930074037672,482.9981222525648,70556500,SPY
2024-02-08,484.9737243652344,485.3532637246949,483.9421162494583,484.759615339305,52343600,SPY
2024-02-09,487.7765808105469,488.2145108276318,485.13914022884614,485.47977226451565,63979400,SPY
2024-02-12,487.56243896484375,490.0149359961155,486.84223792928447,487.747352637465,56502300,SPY
2024-02-13,480.8471984863281,483.77659211196044,477.5772025602381,481.28515815868167,113099200,SPY
2024-02-14,485.217041015625,485.70364975049426,481.1587110987094,483.4847151074999,68387800,SPY
2024-02-15,488.5649108886719,488.74982458371477,485.4408614304675,485.9177581862181,61683000,SPY
2024-02-16,486.13189697265625,489.40189361100556,485.3922421472117,488.2632457352468,75532900,SPY
2024-02-20,483.4554443359375,485.0612469703984,481.20731470764525,484.38972464503985,71736700,SPY
2024-02-21,483.8934020996094,484.0491204434422,480.3411646253707,482.15136438471933,59293400,SPY
2024-02-22,493.9078369140625,494.87131264849836,489.54781221335594,490.51131764803023,76402500,SPY
2024-02-23,494.2484436035156,496.4673780025352,493.51853058146656,495.6303956264625,61321800,SPY
2024-02-26,492.43829345703125,495.12438315275733,492.3117704350963,494.6864234153272,50386700,SPY
2024-02-27,493.35308837890625,493.57693907250416,491.23148157958644,493.1292673855463,48854500,SPY
2024-02-28,492.7010803222656,493.2849870375032,491.4358798053579,491.7959655131677,56506600,SPY
2024-02-29,494.4722900390625,496.0878345083775,491.815425510208,494.46257806109645,83924800,SPY
2024-03-01,499.1145324707031,499.54275051356746,494.9394511031337,495.3482154895911,76844800,SPY
2024-03-04,498.57928466796875,500.4284215717115,498.2873313148722,498.3165563504212,49799300,SPY
2024-03-05,493.59637451171875,497.02211863397577,491.3871817921508,496.57441726330285,72855600,SPY
2024-03-06,496.09759521484375,498.3554668272533,494.8032290742474,496.8761572948693,68382400,SPY
2024-03-07,501.0220947265625,502.07318625015404,496.1560072661152,499.396838146908,58652100,SPY
2024-03-08,498.01483154296875,504.3407152276024,497.4406368151398,501.6546849790431,86532500,SPY
2024-03-11,497.58660888671875,498.17054528765857,494.88106560592894,496.8080468189585,62557200,SPY
2024-03-12,502.9393615722656,503.5232683044219,497.1778712794107,499.6985307075949,73114400,SPY
2024-03-13,502.1509704589844,503.43562459877114,500.7106276661075,503.2604525888654,55104100,SPY
2024-03-14,501.15826416015625,503.2798707615309,498.112089236963,503.1241227281349,110171800,SPY
2024-03-15,497.71710205078125,499.5426983558434,496.04773772547895,498.08807852140865,107646300,SPY
2024-03-18,500.675048828125,503.2327960119457,500.2650442068728,501.7879780994152,88893300,SPY
2024-03-19,503.4573974609375,503.7404859733711,498.9764238973626,499.9819809876235,60755300,SPY
2024-03-20,508.1141052246094,508.2507933211334,502.84243741128154,503.51604636123994,69594600,SPY
2024-03-21,509.793212890625,511.6578075346775,509.5100647824686,510.9549424076125,60256100,SPY
2024-03-22,508.82672119140625,510.19342318455074,508.59237324097523,509.7053025616341,79070800,SPY
2024-03-25,507.4209289550781,508.57288646937474,507.26469698888116,507.45018520809214,48512100,SPY
2024-03-26,506.4837341308594,509.1879415331935,506.0835014250274,508.8462213354942,65463700,SPY
2024-03-27,510.7401428222656,510.77923060858313,507.1475819984231,509.3148686626399,82999800,SPY
2024-03-28,510.6424560546875,512.145845947325,510.3593675770243,510.7791441135719,96294900,SPY
2024-04-01,509.7541198730469,511.92140649600015,508.59239036798215,511.38448570971826,62477500,SPY
2024-04-02,506.5130310058594,506.6496594947848,504.20905639561914,505.92725051103764,74230300,SPY
2024-04-03,507.0694274902344,508.5728771082824,505.3707772955882,505.41957743973774,59155800,SPY
2024-04-04,500.880126953125,511.4235209921689,500.5774945359362,511.08186037390533,96858100,SPY
2024-04-05,506.1127014160156,508.0749556966803,501.79773213862893,502.23705258109646,74546500,SPY
2024-04-08,506.39581298828125,507.8211466086966,505.5855756833857,506.8156491443553,48401800,SPY
2024-04-09,506.9815979003906,508.3776156958321,502.12964804913753,508.1335553906493,68049200,SPY
2024-04-10,501.90509033203125,503.8966008078219,499.9233518012494,501.2802817017724,82652800,SPY
2024-04-11,505.6929016113281,507.13771940586537,499.9135708481498,503.42801505622447,70099000,SPY
2024-04-12,498.71282958984375,503.56474960986543,496.9848635757255,502.14918793409277,92561100,SPY
2024-04-15,492.4649353027344,503.0571295651305,491.61558034670605,502.89118522807627,92101400,SPY
2024-04-16,491.5667724609375,494.4662102656471,490.2781268160622,492.9432762462562,73484000,SPY
2024-04-17,488.6575622558594,494.1928634388067,487.2615443714678,494.0268893119992,75910300,SPY
2024-04-18,487.6520080566406,492.15249561510325,486.71482481856754,490.0535829309475,74548100,SPY
2024-04-19,483.3956298828125,488.56969668668467,482.1264983587833,487.57394131853926,102212600,SPY
2024-04-22,487.8472595214844,490.44406471980994,483.6591763812229,486.0021493308909,67961000,SPY
2024-04-23,493.63641357421875,494.0659621350047,487.66182151013055,489.8583644626642,64633600,SPY
2024-04-24,493.4020690917969,495.3154935043147,491.17624034467946,494.5247405147149,55928100,SPY
2024-04-25,491.5277099609375,492.2891769636512,485.67026231159537,487.32011244956163,69122400,SPY
2024-04-26,496.1844177246094,497.7659238799117,493.68524235456005,494.31979324751813,64306100,SPY
2024-04-29,497.94158935546875,498.61519817399505,495.19835393785416,497.97087540007783,46415400,SPY
2024-04-30,490.0535888671875,497.45348436502843,490.0535888671875,496.4772431240589,77483600,SPY
2024-05-01,488.46234130859375,496.11606953951656,487.9937347584278,489.46786865773555,80242800,SPY
2024-05-02,493.0311279296875,493.8707109149056,487.68131503899394,492.17203084435516,62550200,SPY
2024-05-03,499.14239501953125,500.372438730604,496.47724569258963,499.01547889074567,72756700,SPY
2024-05-06,504.29693603515625,504.3359642334882,501.1046081667102,501.54392863434595,47264700,SPY
2024-05-07,504.8534240722656,506.2494419365131,504.17981521335923,505.2634287213709,52561300,SPY
2024-05-08,504.9021301269531,505.439050807753,502.90084781577497,503.017991979403,42047200,SPY
2024-05-09,507.8113708496094,507.8504586322259,504.4336144152066,505.0876793386549,43643700,SPY
2024-05-10,508.4656066894531,510.22282932595266,507.24530491618293,509.41253226468797,52233200,SPY
2024-05-13,508.5336608886719,510.2518545410418,507.3914756298885,510.1444823340238,36716400,SPY
2024-05-14,510.86700439453125,511.38444082765227,508.19211305924,508.72903379839863,57535900,SPY
2024-05-15,517.193115234375,517.4859756907869,512.7023697575905,513.3369504006804,59504900,SPY
2024-05-16,516.1289672851562,518.8917465910545,515.9825072697596,517.2906967075278,50244800,SPY
2024-05-17,516.870849609375,516.9391936348987,514.7914513506761,516.2460410203236,59187600,SPY
2024-05-20,517.4664306640625,518.930792527948,516.5975616577482,516.9880819887991,37764200,SPY
2024-05-21,518.7354736328125,518.8917055815594,516.4999028909981,516.7049349793422,33437000,SPY
2024-05-22,517.2418823242188,518.7550442398426,515.064823969773,518.0424072439434,48390000,SPY
2024-05-23,513.4639282226562,520.404990006262,512.253338882305,520.2976177568495,57211200,SPY
2024-05-24,516.8612670898438,517.671564163704,514.3620914027401,515.3090169926944,41291100,SPY
2024-05-28,517.2223510742188,517.9057318355667,514.5864879004678,517.6714434796838,36269600,SPY
2024-05-29,513.6005249023438,514.7817983278129,512.8878878194378,513.1905202395113,45190300,SPY
2024-05-30,510.19342041015625,512.7219114405311,508.94386260650384,512.0580745471788,46377600,SPY
2024-05-31,514.84033203125,514.9672481577884,506.0443890267406,511.15017117084983,90785800,SPY
2024-06-03,515.2601928710938,516.7343269011582,510.1837257344974,516.4512383491438,46835700,SPY
2024-06-04,515.836181640625,516.578134600827,512.4876809576447,513.9520429838191,34632700,SPY
2024-06-05,521.9669189453125,521.9864628385163,516.1680432425981,518.1596136281009,47610400,SPY
2024-06-06,521.9572143554688,522.6991673724779,520.0242754001383,522.2696187618435,30808500,SPY
2024-06-07,521.3226318359375,524.1342115774243,519.8875261250549,520.980911626184,43224500,SPY
2024-06-10,522.933349609375,523.255525898201,519.916797584573,520.5122904328304,35686100,SPY
2024-06-11,524.1927490234375,524.2513211148034,519.4091430834137,521.3811694677967,36383400,SPY
2024-06-12,528.4979248046875,531.1923600659605,527.4631115100716,528.7615289974312,63251300,SPY
